account_id,customer_id,account_type,balance
1,4552,Savings,145374.76
2,977,Savings,420350.99
3,3764,Current,159239.78
4,3970,Savings,386530.92
5,4978,Savings,484906.65
6,3903,Current,245938.89
7,2414,Current,94573.63
8,588,Savings,277499.76
9,653,Savings,459067.37
10,4091,Current,307718.43
11,911,Current,61935
12,4732,Current,85490.31
13,1244,Savings,174827.2
14,393,Savings,355283.26
15,676,Current,109679.7
16,422,Current,298809.17
17,3550,Savings,194879.49
18,3331,Current,407260.23
19,2762,Savings,499171.83
20,1438,Current,370057.24
21,615,Savings,70326.41
22,2977,Current,243792.84
23,533,Current,292290.99
24,4893,Current,260777.61
25,2941,Current,195822.94
26,2313,Savings,490599.67
27,251,Current,53877.48
28,2792,Current,226257.43
29,3293,Savings,183444.54
30,4136,Current,443369.84
31,1510,Current,319437.61
32,708,Current,78875.09
33,3312,Savings,380450.4
34,2963,Current,184112.21
35,2122,Current,437108.41
36,3903,Savings,332005.08
37,680,Current,429651.69
38,2249,Savings,419577.28
39,42,Current,255112.77
40,3449,Savings,131077.83
41,4194,Current,389236.64
42,841,Savings,2711.76
43,3374,Current,271206.19
44,484,Current,494149.45
45,822,Current,68652.23
46,1153,Savings,236384.48
47,1381,Savings,251249.6
48,912,Savings,176236
49,1322,Savings,115454.87
50,4524,Savings,91309.67
51,4556,Savings,142670.34
52,4392,Current,236050.19
53,1275,Savings,179600.02
54,4965,Current,16942.94
55,2236,Savings,20467.85
56,4541,Current,226733.19
57,949,Savings,187139.83
58,834,Savings,468070.24
59,2843,Savings,413195.29
60,2576,Savings,160023.53
61,3630,Savings,83201.26
62,4347,Savings,461844.35
63,63,Current,145344.88
64,2945,Current,278705.75
65,336,Current,262571.24
66,240,Savings,463390.49
67,141,Savings,12841.09
68,2459,Savings,311407.78
69,2699,Savings,151339.86
70,2728,Savings,393535.02
71,4183,Savings,464987.62
72,2152,Current,235295.96
73,3359,Current,144630.68
74,1056,Savings,88467.8
75,4178,Savings,12263.84
76,1819,Current,249363.22
77,4582,Savings,337170.6
78,1863,Current,279597.27
79,946,Savings,49576.09
80,3643,Current,465650.37
81,1963,Current,298534.39
82,113,Current,407346.28
83,4527,Current,478953
84,4039,Current,296585.89
85,2508,Savings,272820.9
86,2280,Savings,288380.37
87,6,Current,301768.67
88,3522,Savings,345045.75
89,2944,Savings,260391.13
90,4451,Current,8371.57
91,547,Savings,194865.14
92,3444,Current,121055.77
93,3706,Current,186256.07
94,355,Savings,200137.52
95,1179,Current,207772.87
96,1825,Current,332277.19
97,567,Current,294285.2
98,4521,Savings,70866.69
99,1802,Savings,256502.1
100,1593,Current,361720.09
101,1317,Current,148584.72
102,2469,Current,387162.13
103,4087,Savings,162231.21
104,75,Current,337980.75
105,1970,Savings,450576.11
106,1427,Savings,151439.29
107,40,Savings,137679.43
108,3723,Savings,154599.29
109,2712,Current,124053.66
110,3264,Savings,164486.45
111,2770,Current,229809.41
112,4792,Savings,192702.19
113,4088,Current,8458.21
114,2274,Savings,185092.39
115,504,Savings,498377.94
116,1745,Savings,328922.33
117,2769,Current,180059.33
118,1821,Savings,161757.1
119,4406,Savings,263155.01
120,1855,Savings,140487.54
121,1146,Current,196762.68
122,4916,Savings,221868.31
123,813,Current,148449.9
124,1286,Savings,414780.93
125,217,Current,44419.42
126,3802,Savings,452681.1
127,2943,Savings,295579.8
128,3327,Current,302457.68
129,3890,Savings,198711.33
130,1034,Current,376010.61
131,1765,Savings,419661.76
132,4804,Savings,250555.72
133,2475,Current,4787.38
134,1239,Savings,209575.44
135,4793,Savings,54015.21
136,1961,Savings,106611.57
137,1849,Current,302493.47
138,695,Savings,2028.77
139,178,Savings,354657.85
140,2799,Current,50625.56
141,1198,Savings,421001.49
142,3085,Current,350306.92
143,525,Current,177594.78
144,4913,Current,2226.22
145,3683,Savings,114225.34
146,2341,Current,363751.2
147,1780,Savings,371707.02
148,679,Current,325793.89
149,3840,Current,458108.46
150,4379,Savings,143147.05
151,3088,Current,221104.98
152,2359,Savings,222525.01
153,969,Current,472545.47
154,2890,Savings,339161.9
155,856,Savings,335369.92
156,4088,Current,484629.04
157,3507,Current,30148.24
158,1449,Current,324403.21
159,3425,Savings,63385.79
160,4715,Savings,277333.39
161,2631,Current,274172.55
162,3333,Savings,398779.63
163,491,Savings,66890.67
164,568,Savings,196005
165,4482,Current,12996.17
166,3915,Current,103044.39
167,2016,Savings,76433.14
168,3984,Savings,270036.39
169,4799,Savings,36734.55
170,1131,Current,409548.99
171,4234,Current,323913.64
172,3012,Current,111114.45
173,4080,Savings,42480.08
174,1248,Current,97090
175,329,Savings,469540.9
176,2006,Current,415258.87
177,2013,Savings,436977.03
178,600,Savings,72457.41
179,3583,Current,300119.67
180,4115,Current,190614.72
181,1710,Savings,485478.5
182,4386,Current,52537.47
183,4537,Savings,400922.24
184,4071,Current,171906.76
185,587,Current,447862.87
186,4291,Savings,21580.82
187,806,Current,333982.17
188,249,Current,402110.4
189,1341,Current,197066.75
190,1508,Current,223113.11
191,1805,Current,32743.22
192,1184,Current,92356.27
193,2291,Current,471590.49
194,1808,Savings,245015.46
195,2994,Current,157693.67
196,3162,Current,488736.49
197,2132,Current,256143.33
198,4823,Current,80711.62
199,2283,Current,354370.74
200,986,Savings,154106.69
201,1132,Current,3900.97
202,3386,Savings,485376.64
203,3431,Current,192155.68
204,2735,Savings,72354.27
205,445,Current,383191.91
206,3665,Current,355770.01
207,1470,Savings,370107.84
208,179,Current,292569.09
209,1766,Current,342722.59
210,2207,Savings,37401.66
211,4715,Savings,151279.73
212,3042,Savings,93837.18
213,1605,Current,446596.81
214,3781,Savings,144150.37
215,2826,Current,361796.74
216,3799,Savings,187416.57
217,4258,Current,349359.13
218,426,Current,13089.45
219,1886,Savings,47710.01
220,3710,Savings,387311.46
221,1582,Current,322908.73
222,1279,Savings,463305.94
223,2210,Current,32951.61
224,3234,Current,200700.32
225,3648,Savings,198316.65
226,3335,Savings,335780.27
227,4262,Current,101030.16
228,925,Savings,494231.32
229,1242,Savings,411031.32
230,402,Current,252186.52
231,2199,Savings,194461.43
232,2074,Savings,103091.79
233,1741,Current,424708.53
234,4721,Current,12447.54
235,4174,Savings,469313.89
236,4426,Current,249883.9
237,703,Savings,191214.1
238,2749,Current,303688.21
239,2344,Current,438477.33
240,4911,Savings,12989.39
241,3035,Current,140685.94
242,426,Savings,433676.39
243,1193,Current,311194.18
244,767,Savings,187726.01
245,8,Savings,55032.32
246,2719,Current,196360.71
